City,FAA,IATA,ICAO,Airport_name,Role,Enplanements,latitude,longitude
Asheville,AVL,AVL,KAVL,Asheville Regional Airport,P-S,"573,206",35.44,-82.54
Charlotte,CLT,CLT,KCLT,Charlotte Douglas International Airport,P-L,"22,281,949",35.21,-80.94
Concord,JQF,USA,KJQF,Concord-Padgett Regional Airport,P-N,"147,065",35.39,-80.71
Fayetteville,FAY,FAY,KFAY,Fayetteville Regional Airportÿ(Grannis Field),P-N,"234,998",34.99,-78.88
Greensboro,GSO,GSO,KGSO,Piedmont Triad International Airport,P-S,"938,593",36.10,-79.94
Greenville,PGV,PGV,KPGV,Pitt?Greenville Airport,P-N,"51,599",35.64,-77.39
Jacksonville,OAJ,OAJ,KOAJ,Albert J. Ellis Airport,P-N,"152,448",34.83,-77.61
New Bern,EWN,EWN,KEWN,Coastal Carolina Regional Airportÿ(was Craven County Regional),P-N,"111,172",35.07,-77.04
Raleigh,RDU,RDU,KRDU,Raleigh?Durham International Airport,P-M,"6,258,101",35.88,-78.79
Wilmington,ILM,ILM,KILM,Wilmington International Airport,P-S,"468,816",34.27,-77.90
Monroe,EQY,,KEQY,Charlotte-Monroe Executive Airportÿ(was Monroe Regional),R,228,35.02,-80.62
Sanford,TTA,,KTTA,Raleigh Executive Jetport at Sanford-Lee Countyÿ(was Sanford-Lee Co. Regional),R,41,35.58,-79.10
Ahoskie,ASJ,,KASJ,Tri-County Airport at Henry Joyner Field,GA,0,36.30,-77.17
Albemarle,VUJ,,KVUJ,Stanly County Airport,GA,13,35.42,-80.15
Andrews,RHP,,KRHP,Western Carolina Regional Airportÿ(was Andrews-Murphy Airport),GA,25,35.20,-83.86
Asheboro,HBI,,KHBI,Asheboro Regional Airportÿ(was Asheboro Municipal Airport),GA,13,35.65,-79.89
Beaufort,MRH,,KMRH,Michael J. Smith Field,GA,31,34.73,-76.66
Burlington,BUY,,KBUY,Burlington-Alamance Regional Airport,GA,69,36.05,-79.47
Clinton,CTZ,CTZ,KCTZ,Clinton-Sampson County Airportÿ(was Sampson County Airport),GA,0,34.98,-78.36
Currituck,ONX,,KONX,Currituck County Regional Airportÿ(was Currituck County Airport),GA,27,36.40,-76.02
Edenton,EDE,EDE,KEDE,Northeastern Regional Airport,GA,0,36.03,-76.57
Elizabeth City,ECG,ECG,KECG,Elizabeth City Regional Airportÿ/ÿCGAS Elizabeth City,GA,"1,087",36.26,-76.17
