index,Site Type,Name,Total PFAS,Latitude,Longtitude,distancetoirport,distancetolandfil,distancetochemfactory,distancetofirefighting,distancetowaterways,spilldata,chemindustry,federalsites,greenhouse,solidwaste,ustincident,chemtowater
0,Drinking Water,ROBESON COUNTY WATER SYSTEM,200600.0,35.06375,-78.87223,8.23108883289276,0.25062686784941224,2.153213225025608,2.153213225025608,11.553888057973067,7.597190453603955,2.153213225025608,26.001681494887993,24.856028977597692,3.5909402721835297,0.8579351943844878,9.915789595819758
1,Drinking Water,City of Greensboro,124000.0,36.21522,-79.66144,12.437805417605057,5.69267400089803,7.410374780932324,7.410374780932324,4.619498468731658,25.87907386687056,7.410374780932324,26.23134346342402,31.368202883236997,5.16638499136347,22.068739895990507,3.1321502119427835
2,Drinking Water,BRAGG COMMUNITIES/NTA,114500.0,35.27629,-79.17743,19.261164367573798,3.294521851157609,18.746786765157637,18.746786765157637,27.37814001939622,19.14381661807813,18.746786765157637,15.867237238567645,57.298025730769446,38.13811431656813,19.991600360298026,28.463734831010363
3,Drinking Water,TOWN OF JAMESTOWN  NC,105600.0,35.96232,-79.97522,15.63347826126913,3.8926920060936965,0.27440569883128213,0.27440569883128213,4.73275156516142,18.150425049436038,0.27440569883128213,53.20637785963621,12.635001633262071,7.72453935136959,5.198389437093244,4.642922038211322
4,Drinking Water,LILLINGTON WATER SYSTEM,56700.0,35.38163,-78.90619,15.974347872651721,12.812955132019784,19.865210293718697,19.865210293718697,15.996619408432712,25.23109173959121,19.865210293718697,34.79427209415511,57.864538921767554,14.304226121084222,25.791250697954037,19.39594144448272
5,Drinking Water,CITY OF BESSEMER CITY  NC,50300.0,35.31616,-81.27391,17.129260536841787,2.6182893341799147,4.929627168768472,4.929627168768472,28.67788693237198,22.04023801659691,4.929627168768472,33.171854065141545,145.265049337107,9.17509506897801,9.991504273597897,28.445763609813184
6,Drinking Water,TOWN OF SELMA  NC,35700.0,35.58045,-78.2704,11.716457191117572,10.320573401353249,8.235730585551382,8.235730585551382,18.01490460604934,78.06226034608031,8.235730585551382,37.61159186071394,62.508428744917474,17.501026464431156,9.10943073739621,26.10526833491962
7,Drinking Water,SEYMOUR JOHNSON AFB,30600.0,35.35057,-77.96815,1.3884595945155853,0.6548857870005852,0.13727373531876866,0.13727373531876866,16.7375008564606,83.76691443639955,0.13727373531876866,0.2047465479780965,97.3310249530762,9.069230853987637,3.3501364402968,16.871687467353986
8,Drinking Water,Town of Fuquay-Varina,30000.0,35.58434,-78.80003,9.87481795672515,6.42563845719739,2.5966313432812185,2.5966313432812185,18.236071759223737,49.733460145492764,2.5966313432812185,31.55521175043509,35.214517649977154,10.791239317057178,9.557558904413222,17.142404921178958
9,Drinking Water,LAMPLIGHTER SOUTH-DANBY,29000.0,35.08041,-80.88759,15.177253978393132,2.1402224249340893,2.4856922094579623,2.4856922094579623,15.288714453260484,6.290162600687678,2.4856922094579623,15.568075472337188,125.82367572558755,16.171715582362694,5.483912085535008,14.245718354243172
